# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	aerofoil	(-4.597611e-01 -5.588967e-02 -1.130965e-21)	(-1.833551e-01 5.508235e-02 1.441228e-21)
1.000000e+02	aerofoil	(-4.704197e-01 -1.957395e-01 -6.007875e-18)	(-3.275608e-02 2.734376e-01 1.359334e-17)
2.000000e+02	aerofoil	(-4.588403e-01 -2.155731e-01 -6.239456e-18)	(-4.623735e-02 2.658509e-01 5.351657e-17)
3.000000e+02	aerofoil	(-4.919855e-01 -2.326362e-01 -6.295275e-18)	(-4.642256e-02 2.558442e-01 4.194377e-17)
4.000000e+02	aerofoil	(-4.939939e-01 -2.431432e-01 -6.173780e-18)	(-4.740531e-02 2.483846e-01 3.706221e-17)
5.000000e+02	aerofoil	(-4.868484e-01 -2.459349e-01 -5.711989e-18)	(-4.624067e-02 2.394671e-01 3.435416e-17)
6.000000e+02	aerofoil	(-5.085594e-01 -2.454386e-01 -5.479341e-18)	(-4.028054e-02 2.209579e-01 3.901653e-17)
7.000000e+02	aerofoil	(-4.900728e-01 -2.450516e-01 -5.750150e-18)	(-3.033899e-02 2.048428e-01 3.097200e-17)
8.000000e+02	aerofoil	(-4.944141e-01 -2.462004e-01 -5.907196e-18)	(-3.077831e-02 1.990264e-01 2.976980e-17)
9.000000e+02	aerofoil	(-4.443109e-01 -2.476504e-01 -6.056053e-18)	(-3.088801e-02 1.969744e-01 2.863509e-17)
1.000000e+03	aerofoil	(-4.473407e-01 -2.490934e-01 -6.077058e-18)	(-3.115275e-02 1.950155e-01 2.765018e-17)
1.100000e+03	aerofoil	(-4.422442e-01 -2.502659e-01 -6.098572e-18)	(-3.170041e-02 1.934668e-01 2.690674e-17)
1.200000e+03	aerofoil	(-4.478441e-01 -2.511361e-01 -6.119655e-18)	(-3.180335e-02 1.922707e-01 5.767998e-17)
1.300000e+03	aerofoil	(-4.482371e-01 -2.514994e-01 -6.122894e-18)	(-3.128112e-02 1.914892e-01 1.754143e-16)
